Gene_name,activator,agonist,antibody,binder,blocker,cleavage,immunotherapy,inhibitor,inverse agonist,modulator,negative modulator,other/unknown,positive modulator,potentiator,vaccine
ACTG1,0,15,1,0,0,0,0,17,0,0,0,0,0,0,0
ACTG1P1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTG1P10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTG1P2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
ACTG1P3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTG1P6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTG1P7,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0
ACTG1P8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTG1P9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTG2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTL4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ACTL5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTL6A,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTN1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTN2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTN3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTN4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACVR1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACVR1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACVR1C,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ACVR2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACVR2B,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
ACVRL1,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0
ACY3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ADAM10,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0
ADAM17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ADAM33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM3A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ADAM3B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ADAM8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
ADAMTS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ADAMTSL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTSL4-AS1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ADAR,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ADARB1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADARB2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ADCK1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADCY1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADCY2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ADCY3,0,30,0,0,0,0,0,6,0,0,0,0,0,0,0
ADCY5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADCY6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
