Gene_name,increases^expression,decreases^reaction,affects^expression,increases^reaction,increases^abundance,increases^activity,increases^methylation,increases^phosphorylation,decreases^methylation,decreases^activity,affects^methylation,affects^reaction,increases^oxidation,increases^secretion,affects^response to substance,decreases^phosphorylation,increases^cleavage,increases^response to substance,decreases^response to substance,increases^metabolic processing,affects^phosphorylation,increases^uptake,increases^O-linked glycosylation,increases^chemical synthesis,increases^transport,increases^degradation,decreases^secretion,affects^activity,affects^metabolic processing,increases^localization,increases^sumoylation,increases^glucuronidation,decreases^abundance,increases^reduction,increases^acetylation,increases^mutagenesis
ABCG2,313,288,31,57,14,19,1,0,3,94,0,17,0,6,15,0,0,7,103,0,0,26,0,0,76,0,0,12,2,0,0,0,5,0,0,0
ABCG4,12,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCG5,20,15,6,0,0,3,0,1,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCG8,16,7,7,0,0,3,0,1,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD1,6,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD10,15,0,3,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD11,17,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD11-AS1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD12,19,0,1,0,5,0,1,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD12B,4,2,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD13,2,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
